,time (min),FL1.mean,strain,strain_name,treatment
3,54.68766667,2415.427131,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
4,116.56466670000002,2205.2646050000003,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
5,173.18716669999998,2267.910534,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
6,234.14700000000002,2285.271582,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
7,292.9811667,2513.473684,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
8,350.6185,2511.479062,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
9,412.0883333,2832.478284,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
10,772.0388333,5605.875290999999,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
11,471.48816669999997,3004.131673,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
12,530.3148333,3318.437195,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
13,588.0108333,3896.26235,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
14,648.6096667,4475.98621,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
15,709.4625,4866.51526,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
16,831.1988332999999,6145.973721,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
17,950.7786667000001,7255.270923,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
18,1000.9946669999999,7812.806151000001,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
19,1294.230167,8952.684572,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
20,1473.35,7513.20625,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
